0,pb206_pb204,pb207_pb204,1,sr87_sr86,nd143_nd144
5.0,18.9399,15.6849,2.0,0.706654,0.512361
5.0,18.9063,15.6861,2.0,0.706446,0.51237
5.0,18.9444,15.686,2.0,0.706599,0.512388
5.0,19.111,15.6206,4.0,0.703955,0.512948
5.0,18.989,15.603,4.0,0.703405,0.513024
5.0,18.922,15.626,3.0,0.704522,0.512779
5.0,19.169,15.61,4.0,0.70334,0.513022
5.0,18.8878,15.6292,3.0,0.70425,0.512786
5.0,19.322,15.583,1.0,0.702931,0.513037
5.0,19.359,15.608,4.0,0.703273,0.513026
5.0,18.908,15.604,1.0,0.703163,0.512832
5.0,19.11,15.63,4.0,0.703859,0.512881
5.0,19.319,15.623,4.0,0.703372,0.512965
5.0,19.112,15.608,4.0,0.703572,0.5128664
5.0,20.111,15.667,,,
5.0,19.342,15.561,1.0,0.703103,0.513
1.0,20.784,15.665,1.0,0.703033,0.513007
1.0,20.63,15.652,1.0,0.703057,0.512974
1.0,20.318,15.673,4.0,0.703593,0.512879
1.0,20.73,15.73,4.0,0.703242,0.512822
5.0,19.56,15.71,4.0,0.703745,0.512795
1.0,20.72,15.74,4.0,0.703606,0.512826
1.0,20.59,15.74,4.0,0.70343,0.512849
1.0,20.43,15.77,4.0,0.703301,0.512811
5.0,20.16,15.74,1.0,0.703208,0.512827
5.0,20.08,15.65,1.0,0.702885,0.51294
1.0,20.57,15.74,4.0,0.703489,0.512774
5.0,19.81,15.64,1.0,0.702933,0.512904
5.0,19.181,15.644,4.0,0.70325,0.51284
5.0,19.36,15.64,1.0,0.70311,0.51284
5.0,19.506,15.67,1.0,0.70312,0.51288
5.0,18.995,15.588,4.0,0.70415,0.512899
5.0,18.978,15.563,1.0,0.70312,0.51297
5.0,19.041,15.618,4.0,0.70373,0.512904
5.0,19.067,15.606,4.0,0.70337,0.512929
5.0,19.082,15.641,4.0,0.70351,0.512883
5.0,19.186,15.647,4.0,0.70337,0.512892
5.0,19.182,15.654,4.0,0.70357,0.512869
5.0,19.18,15.643,4.0,0.7036,0.512887
5.0,18.992,15.597,4.0,0.7033,0.512937
5.0,19.046,15.606,4.0,0.70367,0.51285
5.0,18.935,15.587,4.0,0.70336,0.51293
5.0,19.049,15.61,,,
5.0,18.833,15.589,4.0,0.70334,0.512905
5.0,18.836,15.583,4.0,0.70344,0.512892
5.0,19.116,15.634,,,
5.0,19.237,15.605,4.0,0.70331,0.512943
5.0,18.928,15.621,,,
4.0,18.274,15.532,4.0,0.703323,0.512984
4.0,18.34,15.56,1.0,0.70281,0.512949
5.0,19.83,15.63,1.0,0.703155,0.512795
0.0,16.14,15.22,0.0,0.701781,0.513495
3.0,17.97,15.48,1.0,0.703009,0.513183
2.0,17.22,15.33,1.0,0.70286,0.512898
2.0,17.11,15.37,0.0,0.702038,0.513276
5.0,18.87,15.51,1.0,0.702524,0.513123
3.0,17.88,15.36,0.0,0.702162,0.513057
5.0,19.53,15.7,4.0,0.70396,0.512635
5.0,19.64,15.68,4.0,0.703394,0.512889
0.0,16.58,15.31,1.0,0.702732,0.513206
4.0,18.58,15.52,1.0,0.702669,0.513194
3.0,18.05,15.47,0.0,0.702094,0.513073
3.0,18.14,15.48,0.0,0.702403,0.513186
5.0,18.87,15.53,1.0,0.702939,0.512724
4.0,18.63,15.54,1.0,0.702681,0.51318
3.0,18.07,15.46,1.0,0.702811,0.512912
2.0,17.34,15.37,0.0,0.702111,0.513044
1.0,20.23,15.69,4.0,0.703351,0.512815
