,sr87_sr86,nd143_nd144
4714,0.704133,0.512708
4717,0.704052,0.51284
4721,0.704343,0.512722
4723,0.704024,0.512685
4724,0.703848,0.512747
4726,0.703756,0.512742
4730,0.704296,0.512772
4732,0.704612,0.512709
4742,0.703722,0.512765
4748,0.703554,0.512896
4753,0.703855,0.512763
4772,0.703532,0.51292
4779,0.70346,0.512916
4780,0.703284,0.51288
4781,0.70323,0.512881
4783,0.704061,0.512732
4784,0.704689,0.5126
4786,0.704023,0.512712
4787,0.703938,0.512802
4788,0.703772,0.512838
4789,0.703716,0.512801
4792,0.703885,0.512821
4800,0.704038,0.512816
4803,0.703309,0.512858
4812,0.704061,0.512748
4813,0.704034,0.512758
4817,0.70412,0.512722
4822,0.70422,0.512632
4828,0.704327,0.512675
4830,0.704255,0.51266
4844,0.704655,0.51267
4847,0.704305,0.512711
4848,0.704359,0.512695
4866,0.704717,0.512629
4868,0.704588,0.512692
4871,0.704308,0.512692
4880,0.703314,0.512915
4881,0.703285,0.512896
4882,0.703432,0.512938
4883,0.703493,0.512965
4884,0.702931,0.513135
4885,0.703986,0.512735
4886,0.704339,0.512556
4887,0.707693,0.512088
4888,0.70282,0.513181
4889,0.7039,0.512848
4891,0.704442,0.512551
4892,0.703699,0.512853
4893,0.703275,0.512911
4908,0.703206,0.512938
4913,0.703326,0.512896
4936,0.70298,0.51296
4939,0.70318,0.51284
4941,0.702908,0.51303
4942,0.70298,0.51296
4943,0.7027,0.51297
4950,0.704335,0.512733
4952,0.704597,0.512708
4957,0.704875,0.512636
4960,0.704094,0.512795
4966,0.704106,0.512623
4967,0.703909,0.51274
4969,0.703878,0.51276
4973,0.703894,0.512707
4982,0.70382,0.512746
4983,0.703903,0.512718
4984,0.705551,0.512614
4985,0.703849,0.512756
4999,0.704453,0.512666
5001,0.704345,0.512704
5002,0.703773,0.512783
5003,0.704152,0.512694
5004,0.704193,0.512734
5005,0.704378,0.512661
5015,0.703889,0.512778
5019,0.704129,0.512727
5022,0.703893,0.512746
5023,0.703876,0.512735
5024,0.703835,0.512732
5025,0.704467,0.512657
5028,0.703949,0.512826
5030,0.705251,0.512628
5037,0.703851,0.512805
5050,0.703253,0.512862
5051,0.703279,0.512863
5052,0.703248,0.512863
5053,0.705194,0.512652
5054,0.704016,0.512874
5055,0.705853,0.512613
5105,0.703312,0.512882
5106,0.703341,0.512887
5107,0.703511,0.512916
5109,0.703404,0.512904
5113,0.703272,0.512923
5118,0.703433,0.512901
5121,0.703325,0.51292
5123,0.703399,0.512905
5124,0.703421,0.512915
5126,0.703999322,0.512771615
5127,0.704057247,0.512880594
5128,0.70400861,0.51276898
5129,0.704125156,0.512766256
5130,0.703914606,0.512789426
5131,0.703881044,0.512804433
5132,0.704212674,0.512764333
5133,0.703907552,0.512822145
5134,0.70407356,0.51276915
5135,0.704039866,0.512780575
5136,0.704029306,0.512791565
5137,0.70363482,0.512841607
5138,0.703749494,0.512804813
5139,0.703777074,0.512809353
5140,0.70411418,0.5127365
5141,0.703904336,0.512793206
5142,0.703971066,0.512816456
5143,0.703946152,0.512767765
5144,0.70385095,0.51283321
5145,0.70409628,0.51276123
5146,0.704058672,0.512760455
5163,0.70372,0.512829
5182,0.703541,0.512906
5199,0.704162,0.512727
5280,0.704028167,0.512759
5281,0.70393325,0.512797
5282,0.704082,0.512782
5283,0.703937,0.512758
5288,0.704285,0.512693
5295,0.704126,0.51271
5298,0.703875,0.512811
5303,0.703842,0.512824
5307,0.703865,0.51282
5322,0.703991,0.512774
5323,0.70394,0.512792
5324,0.704879,0.51264
5325,0.704351,0.512753
5326,0.704297,0.512725
5327,0.704056571,0.512785571
5328,0.704371,0.512722
5329,0.703887,0.512794
5348,0.704332,0.512729
5349,0.703933,0.512758
5351,0.703295,0.512928
5352,0.704122,0.512768
5354,0.703713,0.512857
5358,0.703511,0.512857
5359,0.703724,0.51283
5361,0.703863,0.512798
5368,0.704021,0.512809
5374,0.70404,0.51279
5375,0.70431,0.51278
5392,0.703853,0.512792
5400,0.703925,0.512787
5403,0.703924,0.512746
5409,0.703813,0.512834
5441,0.704151,0.512752
5442,0.703897,0.51281
5444,0.703848,0.512808
5445,0.703833,0.512807
5446,0.703771,0.512822
5449,0.7039,0.512794
5487,0.704115,0.512556
5508,0.7036784,0.5128727
5516,0.70371,0.51284
5517,0.70347,0.5129
5518,0.70372,0.51289
5523,0.70372,0.5129
5528,0.70355,0.512923
5533,0.70404,0.51286
5548,0.70378,0.512839
5550,0.703739,0.512854
5551,0.70371,0.512866
5552,0.70372,0.512854
5555,0.70376,0.512832
5564,0.703762,0.512849
5570,0.70436,0.512906
5572,0.703889161,0.512811542
5573,0.703978,0.512913
5592,0.704050429,0.512842714
5593,0.70415,0.512842
5600,0.703888,0.512813
5601,0.70372,0.512841
5614,0.703973,0.512801
5624,0.70356,0.512826
5645,0.703935,0.512848
5648,0.703892,0.512834
