,pb206_pb204,pb207_pb204
15386,18.269,15.472
15387,17.2,15.45
15395,18.928,15.579
15532,20.042,15.695
15651,18.99,15.64
15678,19.169,15.618
15680,19.169,15.618
15681,18.929,15.637
15682,19.239,15.652
15683,19.051,15.681
15685,18.932,15.638
15686,18.844,15.652
15687,18.882,15.651
15688,18.844,15.652
15689,19.206,15.676
15690,18.867,15.646
15691,18.962,15.653
15692,19.588,15.735
15698,19.095,15.629
15699,19.131,15.679
15987,18.346,15.517
15993,18.42,15.51
15994,18.42,15.5
15996,18.32,15.47
15999,18.41,15.5
16006,18.32,15.49
16345,18.786,15.682
16349,18.945,15.668
16350,18.9052,15.6666
16351,18.924,15.664
16378,18.828,15.525
16380,18.713,15.562
16436,18.706,15.63
16437,18.718,15.647
16510,18.749,15.665
16614,18.762,15.557
16617,18.607,15.573
16618,18.621,15.549
16623,18.619,15.571
16625,18.516,15.573
